file,name,n,m,density,is_dag,graph_type,scc_count,avg_scc_size,max_scc_size,scc_sizes,topo_len_components,topo_len_vertices,topo_order_vertices,src_comp,short_reachable_components,short_path_components,short_path_vertices,long_max_distance,long_path_components,long_path_vertices,scc_time_ns,topo_time_ns,short_time_ns,long_time_ns,scc_dfs_calls,scc_edges_scanned,topo_nodes,topo_edges,topo_pops,short_relax,short_updated,long_relax,long_updated
large_results.json,large_25_sparse,25,13,0.021667,true,DAG,25,1.000000,1,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,25,25,0;2;4;6;8;10;12;14;16;18;20;22;1;3;5;7;9;11;13;15;17;19;21;23;24,1,2,1,0,2,1->0,0->1,18800,13500,3900,3100,25,13,25,13,25,1,1,1,1
large_results.json,large_25_medium,25,24,0.040000,false,Cyclic,21,1.190476,3,3|3|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,21,25,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24,20,19,20,6,32,20->19->18->17->16->15->14->13->12->11->10->9->8->7->6->5->4->3->2,6->7->8->9->10->11->12->13->14->15->16->17->18->19->20->21->22->23->24,28400,11000,5700,5300,25,24,21,18,21,18,18,18,18
large_results.json,large_25_dense,25,27,0.045000,true,DAG,25,1.000000,1,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,25,25,0;2;1;4;3;6;5;8;7;10;9;12;11;14;13;16;15;18;17;20;19;22;21;24;23,24,25,24,0,23,24->23->22->21->20->19->18->17->16->15->14->13->12,0->2->4->6->8->10->12->14->16->18->20->22->24,20800,14900,8000,6800,25,27,25,27,25,27,24,27,27
large_results.json,large_35_sparse,35,18,0.015126,true,DAG,35,1.000000,1,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,35,35,0;2;4;6;8;10;12;14;16;18;20;22;24;26;28;30;32;1;3;5;7;9;11;13;15;17;19;21;23;25;27;29;31;33;34,1,2,1,0,2,1->0,0->1,24900,21500,4800,7600,35,18,35,18,35,1,1,1,1
large_results.json,large_35_medium,35,34,0.028571,false,Cyclic,31,1.129032,3,3|3|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,31,35,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34,30,29,30,6,53,30->29->28->27->26->25->24->23->22->21->20->19->18->17->16->15->14->13->12->11->10->9->8->7->6->5->4->3->2,6->7->8->9->10->11->12->13->14->15->16->17->18->19->20->21->22->23->24->25->26->27->28->29->30->31->32->33->34,28100,14900,7500,6800,35,34,31,28,31,28,28,28,28
large_results.json,large_35_dense,35,39,0.032773,true,DAG,35,1.000000,1,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,35,35,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34,34,35,34,0,32,34->33->32->31->30->29->28->27->26->25->24->23->22->21->20->19->18->17,0->2->4->6->8->10->12->14->16->18->20->22->24->26->28->30->32->34,32400,17700,8900,8200,35,39,35,39,35,39,34,39,39
large_results.json,large_45_sparse,45,23,0.011616,true,DAG,45,1.000000,1,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,45,45,0;2;4;6;8;10;12;14;16;18;20;22;24;26;28;30;32;34;36;38;40;42;1;3;5;7;9;11;13;15;17;19;21;23;25;27;29;31;33;35;37;39;41;43;44,1,2,1,0,2,1->0,0->1,47800,20300,4600,4200,45,23,45,23,45,1,1,1,1
large_results.json,large_45_medium,45,44,0.022222,false,Cyclic,41,1.097561,3,3|3|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,41,45,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44,40,39,40,6,72,40->39->38->37->36->35->34->33->32->31->30->29->28->27->26->25->24->23->22->21->20->19->18->17->16->15->14->13->12->11->10->9->8->7->6->5->4->3->2,6->7->8->9->10->11->12->13->14->15->16->17->18->19->20->21->22->23->24->25->26->27->28->29->30->31->32->33->34->35->36->37->38->39->40->41->42->43->44,13200,19400,10100,9100,45,44,41,38,41,38,38,38,38
large_results.json,large_45_dense,45,56,0.028283,true,DAG,45,1.000000,1,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,45,45,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44,44,45,44,0,42,44->43->42->41->40->39->38->37->36->35->34->33->32->31->30->29->28->27->26->25->24->23->22,0->2->4->6->8->10->12->14->16->18->20->22->24->26->28->30->32->34->36->38->40->42->44,13000,23400,11500,10600,45,56,45,56,45,56,44,56,56
medium_results.json,medium_12_sparse,12,6,0.045455,true,DAG,12,1.000000,1,1|1|1|1|1|1|1|1|1|1|1|1,12,12,0;2;4;6;8;10;1;3;5;7;9;11,1,2,1,0,2,1->0,0->1,14000,7600,2900,2100,12,6,12,6,12,1,1,1,1
medium_results.json,medium_12_medium,12,11,0.083333,false,Cyclic,8,1.500000,3,3|3|1|1|1|1|1|1,8,12,0;1;2;3;4;5;6;7;8;9;10;11,7,6,7,6,9,7->6->5->4->3->2,6->7->8->9->10->11,28900,5300,2900,2300,12,11,8,5,8,5,5,5,5
medium_results.json,medium_12_dense,12,14,0.106061,true,DAG,12,1.000000,1,1|1|1|1|1|1|1|1|1|1|1|1,12,12,0;1;2;4;3;5;7;6;8;10;9;11,11,12,11,0,9,11->10->9->8->7,0->2->5->8->11,11500,7800,4500,3700,12,14,12,14,12,14,13,14,12
medium_results.json,medium_15_sparse,15,7,0.033333,true,DAG,15,1.000000,1,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,15,15,0;2;4;6;8;10;12;14;1;3;5;7;9;11;13,1,2,1,0,2,1->0,0->1,10000,7600,2800,2800,15,7,15,7,15,1,1,1,1
medium_results.json,medium_15_medium,15,14,0.066667,false,Cyclic,11,1.363636,3,3|3|1|1|1|1|1|1|1|1|1,11,15,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,10,9,10,6,14,10->9->8->7->6->5->4->3->2,6->7->8->9->10->11->12->13->14,24300,6500,3800,2900,15,14,11,8,11,8,8,8,8
medium_results.json,medium_15_dense,15,15,0.071429,true,DAG,15,1.000000,1,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,15,15,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14,14,15,14,0,14,14->6->5->4->3->2->1->0,0->1->3->5->7->9->11->13,12300,10700,4800,4100,15,15,15,15,15,15,14,15,15
medium_results.json,medium_18_sparse,18,9,0.029412,true,DAG,18,1.000000,1,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,18,18,0;2;4;6;8;10;12;14;16;1;3;5;7;9;11;13;15;17,1,2,1,0,2,1->0,0->1,15100,8900,2900,2400,18,9,18,9,18,1,1,1,1
medium_results.json,medium_18_medium,18,17,0.055556,false,Cyclic,14,1.285714,3,3|3|1|1|1|1|1|1|1|1|1|1|1|1,14,18,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17,13,12,13,6,22,13->12->11->10->9->8->7->6->5->4->3->2,6->7->8->9->10->11->12->13->14->15->16->17,15800,8100,4200,3500,18,17,14,11,14,11,11,11,11
medium_results.json,medium_18_dense,18,19,0.062092,true,DAG,18,1.000000,1,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,18,18,0;2;1;4;3;6;5;8;7;10;9;12;11;14;13;16;15;17,17,18,17,0,17,17->8->7->6->5->4->3->2->1->0,0->1->3->5->7->9->11->13->15->17,13500,10000,5500,4700,18,19,18,19,18,19,17,19,19
small_results.json,small_6_sparse,6,3,0.100000,true,DAG,6,1.000000,1,1|1|1|1|1|1,6,6,0;2;4;1;3;5,1,2,1,0,2,1->0,0->1,63800,33700,12100,2900,6,3,6,3,6,1,1,1,1
small_results.json,small_6_medium,6,5,0.166667,false,Cyclic,4,1.500000,3,3|1|1|1,4,6,0;1;2;3;4;5,0,1,0,0,0,0,0,11900,3500,1500,2400,6,5,4,2,4,0,0,0,0
small_results.json,small_6_dense,6,9,0.300000,false,Cyclic,1,6.000000,6,6,1,6,0;1;2;3;4;5,0,1,0,0,0,0,0,7900,1700,1100,600,6,9,1,0,1,0,0,0,0
small_results.json,small_8_sparse,8,5,0.089286,true,DAG,8,1.000000,1,1|1|1|1|1|1|1|1,8,8,0;3;4;1;5;2;6;7,7,4,7,4,6,7->6->5->4,4->5->6->7,123700,9600,4300,3200,8,5,8,5,8,3,3,3,3
small_results.json,small_8_medium,8,6,0.107143,false,Cyclic,6,1.333333,3,3|1|1|1|1|1,6,8,0;1;2;3;6;4;7;5,3,3,3,3,3,3->2->1,3->4->5,12300,14500,6600,2800,8,6,6,3,6,2,2,2,2
small_results.json,small_8_dense,8,11,0.196429,true,DAG,8,1.000000,1,1|1|1|1|1|1|1|1,8,8,0;1;2;4;3;5;6;7,7,8,7,0,8,7->6->2->1->0,0->2->3->6->7,15000,9200,5100,3900,8,11,8,11,8,11,7,11,10
small_results.json,small_10_sparse,10,5,0.055556,true,DAG,10,1.000000,1,1|1|1|1|1|1|1|1|1|1,10,10,0;3;5;7;8;1;4;6;9;2,2,3,2,0,3,2->1->0,0->1->2,26800,6700,3000,2000,10,5,10,5,10,2,2,2,2
small_results.json,small_10_medium,10,9,0.100000,false,Cyclic,6,1.666667,3,3|3|1|1|1|1,6,10,0;1;2;3;4;5;6;7;8;9,0,1,0,0,0,0,0,14300,4200,1800,1400,10,9,6,3,6,0,0,0,0
small_results.json,small_10_dense,10,11,0.122222,true,DAG,10,1.000000,1,1|1|1|1|1|1|1|1|1|1,10,10,0;1;3;4;2;5;7;8;6;9,9,10,9,0,7,9->2->1->0,0->2->6->9,13100,7200,4000,3000,10,11,10,11,10,11,9,11,10
